Optimizer,ModelType,Round_Fold,Client,Epoch,TimeSec,TrainAcc,ValAcc,TrainLoss,ValLoss,LR
Adagrad,FEDERATED CNN,4,5,1,17.85253644,0.7810857892,0.49868536,0.6351013184,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,5,2,5.570651054,0.7810857892,0.49868536,0.5845486522,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,5,3,5.615223169,0.8117337823,0.49868536,0.5153394938,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,5,4,5.703255653,0.794220686,0.49868536,0.5310316682,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,5,5,5.328795433,0.8082311749,0.49868536,0.5184960365,1.676647902,0.001000000047
Adagrad,FEDERATED CNN,4,5,6,5.555011034,0.8187390566,0.49868536,0.4954784811,1.676647902,0.0005000000237
Adagrad,FEDERATED CNN,5,1,1,17.5068686,0.7970253825,0.4934268296,0.552310288,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,1,2,5.777212858,0.815398097,0.4934268296,0.5410612226,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,1,3,5.736940384,0.838145256,0.4934268296,0.4594029188,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,1,4,5.617154837,0.8285214305,0.4934268296,0.4874069989,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,1,5,5.771484375,0.830271244,0.4934268296,0.4825689793,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,1,6,5.962173223,0.848643899,0.4934268296,0.3971880078,1.75630331,0.0005000000237
Adagrad,FEDERATED CNN,5,2,1,16.99955153,0.832020998,0.4934268296,0.4703850746,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,2,2,5.745507002,0.818022728,0.4934268296,0.5242219567,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,2,3,5.768621922,0.8276465535,0.4934268296,0.4696255326,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,2,4,5.701674938,0.8293963075,0.4934268296,0.5164429545,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,2,5,5.54650569,0.830271244,0.4934268296,0.4667202532,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,2,6,5.794528484,0.8442694545,0.4934268296,0.4349850416,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,3,1,18.06956434,0.8266199827,0.4934268296,0.5241174102,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,3,2,5.575928688,0.7959719896,0.4934268296,0.5313276649,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,3,3,5.792440176,0.813485086,0.4934268296,0.5338990688,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,3,4,5.788937092,0.824868679,0.4934268296,0.4948574305,1.75630331,0.0005000000237
Adagrad,FEDERATED CNN,5,3,5,5.855576277,0.8204903603,0.4934268296,0.4798594117,1.75630331,0.0005000000237
Adagrad,FEDERATED CNN,5,3,6,5.861502171,0.8318738937,0.4934268296,0.4719564319,1.75630331,0.0005000000237
Adagrad,FEDERATED CNN,5,4,1,17.94613457,0.8073555231,0.4934268296,0.5235926509,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,4,2,5.692497253,0.8301225901,0.4934268296,0.4857960641,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,4,3,5.763243437,0.8292469382,0.4934268296,0.5058327317,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,4,4,5.793187618,0.8327495456,0.4934268296,0.4960950911,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,4,5,5.785912275,0.8274956346,0.4934268296,0.4899426699,1.75630331,0.0005000000237
Adagrad,FEDERATED CNN,5,5,1,17.7520709,0.7915936708,0.4934268296,0.5496040583,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,5,2,5.735019207,0.8196147084,0.4934268296,0.4871297479,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,5,3,5.675842524,0.8056042194,0.4934268296,0.509529233,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,5,4,5.735777855,0.824868679,0.4934268296,0.4688266516,1.75630331,0.001000000047
