Metric,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Mean (± Std. Dev)
Best Validation Accuracy,0.7174,0.7244,0.7627,0.7224,0.7513,0.7356 (± 0.0180)
Best Validation Loss,0.7231 (Epoch 27),0.5948 (Epoch 27),0.6509 (Epoch 21),0.6172 (Epoch 20),0.6316 (Epoch 16),N/A
,,,,,,
,,,,,,
Federated Round,Client ID,Local Accuracy (Final Epoch 6),Local Loss (Final Epoch 6),Global Validation Accuracy,Global Validation Loss,
Round 1,Client 1,0.5661,1.1288,0.2875,1.5647,
,Client 2,0.4523,1.2121,,,
,Client 3,0.4711,1.2018,,,
,Client 4,0.5053,1.2013,,,
,Client 5,0.3511,1.3029,,,
Round 2,Client 1,0.6194,1.019,0.5513,1.1444,
,Client 2,0.5381,1.1039,,,
,Client 3,0.5928,1.0429,,,
,Client 4,0.5613,1.1147*,,,
,Client 5,0.5746,1.0965,,,
,,,,,,
centralized model for comparison ,,,,,,
,,,,,,
Fold No,Epoch No,Train Accuracy,Train Loss,Val_Accuracy,Val_Loss,
4,4,6,0.676,0.8235,0.0005,
4,5,1,0.6515,0.8822,0.001,
4,5,2,0.6182,0.9064,0.001,
4,5,3,0.6051,0.9521,0.001,
4,5,4,0.6506,0.8787,0.0005,
4,5,5,0.6532,0.8386,0.0005,
4,5,6,0.6489,0.8522,0.0005,
5,1,1,0.6833,0.8061,0.001,
5,1,2,0.6763,0.8264,0.001,
5,1,3,0.6702,0.8036,0.001,
5,1,4,0.6754,0.7748,0.001,
5,1,5,0.6763,0.8277,0.001,
5,1,6,0.6457,0.8499,0.001,
5,2,1,0.6842,0.7928,0.001,
5,2,2,0.6448,0.8655,0.001,
5,2,3,0.6579,0.8354,0.001,
5,2,4,0.6527,0.8236,0.0005,
5,3,1,0.6848,0.7772,0.001,
5,3,2,0.6646,0.8035,0.001,
5,3,3,0.6576,0.823,0.001,
5,3,4,0.6778,0.7896,0.0005,
5,4,1,0.697,0.7822,0.001,
5,4,2,0.6865,0.787,0.001,
5,4,3,0.6813,0.8095,0.001,
5,4,4,0.662,0.834,0.0005,
5,5,1,0.6532,0.8652,0.001,
5,5,2,0.6278,0.8686,0.001,
5,5,3,0.6007,0.9203,0.001,
5,5,4,0.6366,0.8529,0.0005,
5,5,5,0.6454,0.8343,0.0005,
5,5,6,0.6392,0.8284,0.0005,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Metric,Value,,,,,
Overall Test Accuracy,0.6873,,,,,
Macro Avg F1-Score,0.5891,,,,,
Weighted Avg F1-Score,0.6062,,,,,
Total Test Samples (Support),1311,,,,,
,,,,,,
,,,,,,
,,,,,,
Class,Precision,Recall,F1-Score,Support,Performance Note,
glioma,0.536,0.9433,0.6836,300,"High Recall, but low Precision (many false positives).",
meningioma,0.4,0.0065,0.0129,306,Extremely Poor Performance (almost no correct positive predictions).,
notumor,0.8083,0.8642,0.8353,405,Excellent overall performance.,
pituitary,0.771,0.8867,0.8248,300,Very strong and balanced performance.,
